title,Cluster,genres,production_companies,popularity
Inception,0,"Action, Science Fiction, Adventure","Legendary Pictures, Syncopy, Warner Bros. Pictures",83.952
Interstellar,1,"Adventure, Drama, Science Fiction","Legendary Pictures, Syncopy, Lynda Obst Productions",140.241
The Dark Knight,1,"Drama, Action, Crime, Thriller","DC Comics, Legendary Pictures, Syncopy, Isobel Griffiths, Warner Bros. Pictures",130.643
Avatar,0,"Action, Adventure, Fantasy, Science Fiction","Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Media",79.932
The Avengers,0,"Science Fiction, Action, Adventure",Marvel Studios,98.082
Deadpool,0,"Action, Adventure, Comedy","20th Century Fox, The Donners' Company, Genre Films",72.735
Avengers: Infinity War,0,"Adventure, Action, Science Fiction",Marvel Studios,154.34
Fight Club,1,Drama,"Regency Enterprises, Fox 2000 Pictures, Taurus Film, Atman Entertainment, Knickerbocker Films, The Linson Company, 20th Century Fox",69.498
Guardians of the Galaxy,0,"Action, Science Fiction, Adventure",Marvel Studios,33.255
Pulp Fiction,2,"Thriller, Crime","Miramax, A Band Apart, Jersey Films",74.862
Forrest Gump,1,"Comedy, Drama, Romance","Paramount, The Steve Tisch Company, Wendy Finerman Productions",92.693
Harry Potter and the Philosopher's Stone,0,"Adventure, Fantasy","Warner Bros. Pictures, Heyday Films, 1492 Pictures",185.482
Iron Man,0,"Action, Science Fiction, Adventure",Marvel Studios,72.897
Django Unchained,1,"Drama, Western","The Weinstein Company, Columbia Pictures",54.224
Avengers: Endgame,0,"Adventure, Science Fiction, Action",Marvel Studios,91.756
The Matrix,0,"Action, Science Fiction","Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros. Pictures",78.564
Titanic,1,"Drama, Romance","Paramount, 20th Century Fox, Lightstorm Entertainment",102.348
Joker,1,"Crime, Thriller, Drama","Warner Bros. Pictures, Joint Effort, Village Roadshow Pictures, Bron Studios, DC Films",54.522
The Lord of the Rings: The Fellowship of the Ring,0,"Adventure, Fantasy, Action","New Line Cinema, WingNut Films, The Saul Zaentz Company",87.037
The Lord of the Rings: The Return of the King,0,"Adventure, Fantasy, Action","New Line Cinema, WingNut Films, The Saul Zaentz Company",99.276
Shutter Island,1,"Drama, Thriller, Mystery","Phoenix Pictures, Paramount, Appian Way, Sikelia Productions, Mandate International",56.595
The Wolf of Wall Street,1,"Crime, Drama, Comedy","EMJAG Productions, Red Granite Pictures, Appian Way, Sikelia Productions",97.444
Avengers: Age of Ultron,0,"Action, Adventure, Science Fiction",Marvel Studios,96.565
Captain America: Civil War,0,"Adventure, Action, Science Fiction",Marvel Studios,70.741
The Dark Knight Rises,1,"Action, Crime, Drama, Thriller","Syncopy, Legendary Pictures, DC Entertainment, Warner Bros. Pictures",76.914
Iron Man 3,0,"Action, Adventure, Science Fiction",Marvel Studios,61.06
Black Panther,0,"Action, Adventure, Science Fiction",Marvel Studios,43.665
Doctor Strange,0,"Action, Adventure, Fantasy",Marvel Studios,70.535
Mad Max: Fury Road,0,"Action, Adventure, Science Fiction","Kennedy Miller Productions, Warner Bros. Pictures, RatPac Entertainment, Village Roadshow Pictures",78.319
The Hunger Games,0,"Science Fiction, Adventure, Fantasy","Lionsgate, Color Force",29.577
Spider-Man: Homecoming,0,"Action, Adventure, Science Fiction, Drama","Marvel Studios, Pascal Pictures, LStar Capital, Columbia Pictures",65.88
Harry Potter and the Chamber of Secrets,0,"Adventure, Fantasy","Warner Bros. Pictures, Heyday Films, 1492 Pictures",121.699
Guardians of the Galaxy Vol. 2,0,"Science Fiction, Adventure, Action",Marvel Studios,67.553
